Species,Average mass (kg),Region,Sample size,survival est,SE,95% CI (lower),95% CI (upper),sex,age,Group,Method,Reference,Values Reviewed? (Y/N),
Andean Condor  Vultur gryphus,10.7,Peru,,0.94,,0.85,1.02,,adult,,5,Temple & Wallace  (1989),Y,
Western Osprey Pandion haliaetus,6.6,W. Europe,18,0.64,,,,,adult,,5,Klaassen et al. (2014),Y,
Bearded vulture Gypaetus barbatus,3.3,Spain,,0.969,,,,,second year and over,wild,5,Bustamante (1996),Y,
Egyptian Vulture Neophron percnopterus,2.4,Spain,,0.75,0.02,,,,adult,non-breeder,3,Grande et al. (2009),Y,
Egyptian Vulture Neophron percnopterus,2.4,Spain,,0.833,0.022,,,,adult,breeder,3,Grande et al. (2009),Y,
European Honey-buzzard Pernis apivorus,8.8,Netherlands,,0.812,0.023,,,,fifth year,,3,Bijlsma et al. (2012),Y,
European Honey-buzzard Pernis apivorus,8.8,Netherlands,,0.82,0.023,,,,sixth year,,3,Bijlsma et al. (2012),Y,
European Honey-buzzard Pernis apivorus,8.8,Netherlands,,0.808,0.022,,,,seventh year,,3,Bijlsma et al. (2012),Y,
Griffon Vulture Gyps fulvus,7.1,France,,0.987,0.006,,,,adult,,3,Sarrazin et al. (1994),Y,
Golden Eagle Aquila chrysaetos,4,"California, USA",,0.924,,,,,adult,no turbine breeder,5,Hunt (2002),Y,
Golden Eagle Aquila chrysaetos,4,"California, USA",,0.9093,,,,,adult,turbine breeder,5,Hunt (2002),Y,
Golden Eagle Aquila chrysaetos,4,"California, USA",,0.9087,0.0246,,,,adult,breeder,5,Hunt (2002),Y,
Bonelli's Eagle Aquila fasciata,2.5,"Granada, Spain",,0.9633,,,,,adult,,5,Gil-Sánchez et al. (2000),Y,
Bonelli's Eagle Aquila fasciata,2.5,"Cordoba, Spain",,0.87,,,,,adult,,3,Dobado-Berrios et al. (2001),Y,
Bonelli's Eagle Aquila fasciata,2.5,S. France,119,0.87,,,,,third year and over,,3,Hernández‐Matías et al. (2011),Y,
Bonelli's Eagle Aquila fasciata,2.5,Spain and France,74,0.9327,0.024,,,,adult,Burgos,5,Real & Mañosa (1997),Y,potentially 1-4 years old
Bonelli's Eagle Aquila fasciata,2.5,Spain and France,92,0.924,,,,,adult,Navarra,5,Real & Mañosa (1997),Y,
Bonelli's Eagle Aquila fasciata,2.5,Spain and France,240,0.9116,0.0788,,,,adult,Valles,5,Real & Mañosa (1997),Y,
Bonelli's Eagle Aquila fasciata,2.5,Spain and France,670,0.8713,0.0676,,,,adult,Castello,5,Real & Mañosa (1997),Y,
Bonelli's Eagle Aquila fasciata,2.5,Spain and France,262,0.8391,0.1225,,,,adult,Murcia,5,Real & Mañosa (1997),Y,
Bonelli's Eagle Aquila fasciata,2.5,Spain and France,228,0.9607,0.0219,,,,adult,Provence,5,Real & Mañosa (1997),Y,
