Reference,Species,Average mass (kg),Region,N,total dead,total survived,survival est,SE,95% CI (lower),95% CI (upper),sex,age class,age,Group,Method,survival estimate type,death type,notes
Temple & Wallace  (1989),Andean Condor  Vultur gryphus,10.7,Peru,33,2,31,0.94,,0.85,1.02,,adult,adult,,5,unknown true,indirect,
Klaassen et al. (2014),Western Osprey Pandion haliaetus,6.6,W. Europe,18,11,7,0.64,,,,,adult,adult,,5,unknown true,indirect,
Bustamante (1996),Bearded vulture Gypaetus barbatus,3.3,Spain,40,2,38,0.969,,,,,adult,second year and over,wild,5,unknown true,indirect,
Grande et al. (2009),Egyptian Vulture Neophron percnopterus,2.4,Spain,86,22,64,0.75,0.02,,,,adult,adult,non-breeder,3,apparent,indirect,
Sarrazin et al. (1994),Griffon Vulture Gyps fulvus,7.1,France,64,4,60,0.987,0.006,,,,adult,adult,,3,apparent,indirect,
Hunt (2002),Golden Eagle Aquila chrysaetos,4,"California, USA",47,12,35,0.9087,0.0246,,,,adult,adult,breeder,5,unknown true,indirect,
Gil-Sanchez et al. (2000),Bonelli's Eagle Aquila fasciata,2.5,"Granada, Spain",33,2,31,0.9633,,,,,adult,adult,,5,unknown true,indirect,
Hernandez-Mati�as et al. (2011),Bonelli's Eagle Aquila fasciata,2.5,S. France,119,16,103,0.87,,,,,adult,third year and over,,3,apparent,indirect,
Real and Manosa(1997),Bonelli's Eagle Aquila fasciata,2.5,Spain and France,74,5,69,0.9327,0.024,,,,adult,adult,Burgos,5,unknown true,indirect,potentially 1-4 years old
Real and Manosa(1997),Bonelli's Eagle Aquila fasciata,2.5,Spain and France,92,7,85,0.924,,,,,adult,adult,Navarra,5,unknown true,indirect,
Real and Manosa(1997),Bonelli's Eagle Aquila fasciata,2.5,Spain and France,240,21,219,0.9116,0.0788,,,,adult,adult,Valles,5,unknown true,indirect,
Real and Manosa(1997),Bonelli's Eagle Aquila fasciata,2.5,Spain and France,670,86,584,0.8713,0.0676,,,,adult,adult,Castello,5,unknown true,indirect,
Real and Manosa(1997),Bonelli's Eagle Aquila fasciata,2.5,Spain and France,262,42,220,0.8391,0.1225,,,,adult,adult,Murcia,5,unknown true,indirect,
Real and Manosa(1997),Bonelli's Eagle Aquila fasciata,2.5,Spain and France,228,9,219,0.9607,0.0219,,,,adult,adult,Provence,5,unknown true,indirect,
Newton & Rothery (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,75,46,29,0.453,0.071,,,female,adult,second year,,3,apparent,indirect,
Newton & Rothery (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,85,40,45,0.626,0.063,,,female,adult,third year,,3,apparent,indirect,
Newton & Rothery (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,112,52,60,0.609,0.054,,,female,adult,fourth year,,3,apparent,indirect,
Newton & Rothery (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,53,22,31,0.686,0.071,,,female,adult,fifth year,,3,apparent,indirect,
Newton & Rothery (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,40,17,23,0.66,0.09,,,female,adult,sixth year,,3,apparent,indirect,
Newton & Rothery (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,22,11,11,0.571,0.107,,,female,adult,seventh year,,3,apparent,indirect,
Newton & Rothery (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,14,7,7,0.516,0.063,,,female,adult,eighth year,,3,apparent,indirect,
Newton & Rothery (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,6,4,2,0.403,0.153,,,female,adult,ninth and tenth year,,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,England,125,59,66,0.631,0.063,,,female,adult,second year,Rockingham,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,England,117,49,68,0.722,0.064,,,female,adult,third year,Rockingham,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,England,118,46,72,0.757,0.059,,,female,adult,fourth year,Rockingham,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,England,68,27,41,0.643,0.073,,,female,adult,fifth year,Rockingham,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,England,42,19,23,0.642,0.083,,,female,adult,sixth year,Rockingham,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,England,25,10,15,0.631,0.107,,,female,adult,seventh year,Rockingham,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,England,13,6,7,0.765,0.146,,,female,adult,eighth year,Rockingham,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,England,8,5,3,0.479,0.121,,,female,adult,"ninth, tenth, and eleventh year",Rockingham,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,England,2,1,1,0.479,0.121,,,,,,,,,,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,England,3,2,1,0.479,0.121,,,,,,,,,,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,75,46,29,0.503,0.08,,,female,adult,second year,Eskdale,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,87,40,47,0.621,0.063,,,female,adult,third year,Eskdale,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,112,52,60,0.62,0.054,,,female,adult,fourth year,Eskdale,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,53,22,31,0.635,0.072,,,female,adult,fifth year,Eskdale,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,40,17,23,0.65,0.082,,,female,adult,sixth year,Eskdale,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,22,11,11,0.591,0.103,,,female,adult,seventh year,Eskdale,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,14,7,7,0.502,0.151,,,female,adult,eighth year,Eskdale,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,8,5,3,0.402,0.16,,,female,adult,"ninth, tenth, and eleventh year",Eskdale,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,53,31,22,0.501,0.089,,,female,adult,second year,Annandale,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,100,46,54,0.658,0.063,,,female,adult,third year,Annandale,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,93,34,59,0.773,0.066,,,female,adult,fourth year,Annandale,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,60,33,27,0.527,0.068,,,female,adult,fifth year,Annandale,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,33,14,19,0.663,0.09,,,female,adult,sixth year,Annandale,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,19,9,10,0.571,0.122,,,female,adult,seventh year,Annandale,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,11,7,4,0.362,0.152,,,female,adult,eighth year,Annandale,3,apparent,indirect,
Newton et al. (1997),Eurasian Sparrowhawk Accipiter nisus,1.5,S. Scotland,4,2,2,0.645,0.261,,,female,adult,"ninth,tenth, and eleventh year",Annandale,3,apparent,indirect,
Kenward (1999),Northern Goshawk Accipiter gentilis,7.6,"Gotland, Sweden",133,19,114,0.83,0.09,,,both,adult,third year and over,staggered entry,5,unknown true,indirect,
