Order,Family,Scientific,English,Mass
Strigiformes,Tytonidae,Tyto tenebricosa,Sooty Owl,660.6
Strigiformes,Tytonidae,Tyto inexspectata,Sulawesi Golden Owl,521.71
Strigiformes,Tytonidae,Tyto nigrobrunnea,Taliabu Masked-owl,521.71
Strigiformes,Tytonidae,Tyto sororcula,Lesser Masked-owl,521.71
Strigiformes,Tytonidae,Tyto manusi,Manus Masked-owl,521.71
Strigiformes,Tytonidae,Tyto aurantia,Bismarck Masked-owl,521.71
Strigiformes,Tytonidae,Tyto novaehollandiae,Australian Masked-owl,631.85
Strigiformes,Tytonidae,Tyto rosenbergii,Sulawesi Owl,521.71
Strigiformes,Tytonidae,Tyto soumagnei,Madagascar Red Owl,284
Strigiformes,Tytonidae,Tyto alba,Barn Owl,403.32
Strigiformes,Tytonidae,Tyto glaucops,Ashy-faced Owl,521.71
Strigiformes,Tytonidae,Tyto capensis,African Grass-owl,364.74
Strigiformes,Tytonidae,Tyto longimembris,Eastern Grass-owl,352.5
Strigiformes,Tytonidae,Phodilus prigoginei,Congo Bay-owl,195
Strigiformes,Tytonidae,Phodilus badius,Oriental Bay-owl,280.24
Strigiformes,Strigidae,Otus sagittatus,White-fronted Scops-owl,122.64
Strigiformes,Strigidae,Otus rufescens,Reddish Scops-owl,76.54
Strigiformes,Strigidae,Otus icterorhynchus,Sandy Scops-owl,73.29
Strigiformes,Strigidae,Otus ireneae,Sokoke Scops-owl,50.3
Strigiformes,Strigidae,Otus balli,Andaman Scops-owl,123.28
Strigiformes,Strigidae,Otus spilocephalus,Mountain Scops-owl,67.5
Strigiformes,Strigidae,Otus umbra,Simeulue Scops-owl,95
Strigiformes,Strigidae,Otus angelinae,Javan Scops-owl,82.2
Strigiformes,Strigidae,Otus manadensis,Sulawesi Scops-owl,88.3
Strigiformes,Strigidae,Otus longicornis,Luzon Scops-owl,82.87
Strigiformes,Strigidae,Otus mindorensis,Mindoro Scops-owl,123.28
Strigiformes,Strigidae,Otus mirus,Mindanao Scops-owl,61.32
Strigiformes,Strigidae,Otus hartlaubi,Sao Tome Scops-owl,79
Strigiformes,Strigidae,Otus brucei,Pallid Scops-owl,84.35
Strigiformes,Strigidae,Otus flammeolus,Flammulated Owl,59.9
Strigiformes,Strigidae,Otus scops,Common Scops-owl,92
Strigiformes,Strigidae,Otus sunia,Oriental Scops-owl,78.09
Strigiformes,Strigidae,Otus senegalensis,African Scops-owl,67
Strigiformes,Strigidae,Otus elegans,Elegant Scops-owl,124
Strigiformes,Strigidae,Otus mantananensis,Mantanani Scops-owl,106
Strigiformes,Strigidae,Otus magicus,Moluccan Scops-owl,165
Strigiformes,Strigidae,Otus beccarii,Biak Scops-owl,165
Strigiformes,Strigidae,Otus alfredi,Flores Scops-owl,123.28
Strigiformes,Strigidae,Otus enganensis,Enggano Scops-owl,104.88
Strigiformes,Strigidae,Otus insularis,Seychelles Scops-owl,123.28
Strigiformes,Strigidae,Otus rutilus,Malagasy Scops-owl,101
Strigiformes,Strigidae,Otus pembaensis,Pemba Scops-owl,123.28
Strigiformes,Strigidae,Otus capnodes,Anjouan Scops-owl,119
Strigiformes,Strigidae,Otus pauliani,Grand Comoro Scops-owl,69.49
Strigiformes,Strigidae,Otus brookii,Rajah Scops-owl,123.28
Strigiformes,Strigidae,Otus bakkamoena,Collared Scops-owl,146.3
Strigiformes,Strigidae,Otus lettia,Collared Scops Owl,142.33
Strigiformes,Strigidae,Otus lempiji,Sunda Scops Owl,142.33
Strigiformes,Strigidae,Otus semitorques,Japanese Scops Owl,121.53
Strigiformes,Strigidae,Otus mentawi,Mentawai Scops-owl,123.28
Strigiformes,Strigidae,Otus fuliginosus,Palawan Scops-owl,123.28
Strigiformes,Strigidae,Otus megalotis,Philippine Scops-owl,178.4
Strigiformes,Strigidae,Otus silvicola,Wallace's Scops-owl,123.28
Strigiformes,Strigidae,Otus leucotis,White-faced Scops-owl,204
Strigiformes,Strigidae,Megascops kennicottii,Western Screech-owl,141.82
Strigiformes,Strigidae,Megascops seductus,Balsas Screech-owl,160
Strigiformes,Strigidae,Megascops cooperi,Pacific Screech-owl,149.94
Strigiformes,Strigidae,Megascops asio,Eastern Screech-owl,179.99
Strigiformes,Strigidae,Megascops trichopsis,Whiskered Screech-owl,88.26
Strigiformes,Strigidae,Megascops choliba,Tropical Screech-owl,132
Strigiformes,Strigidae,Megascops koepckeae,Koepcke's Screech-owl,116.93
Strigiformes,Strigidae,Megascops roboratus,West Peruvian Screech-owl,126.7
Strigiformes,Strigidae,Megascops clarkii,Bare-shanked Screech-owl,158.46
Strigiformes,Strigidae,Megascops barbarus,Bearded Screech-owl,69
Strigiformes,Strigidae,Megascops ingens,Rufescent Screech-owl,165.32
Strigiformes,Strigidae,Megascops marshalli,Cloud-forest Screech-owl,101
Strigiformes,Strigidae,Megascops watsonii,Tawny-bellied Screech-owl,129
Strigiformes,Strigidae,Megascops atricapilla,Black-capped Screech-owl,118.89
Strigiformes,Strigidae,Megascops hoyi,Montane Forest Screech-owl,110
Strigiformes,Strigidae,Megascops guatemalae,Vermiculated Screech-owl,118
Strigiformes,Strigidae,Megascops sanctaecatarinae,Long-tufted Screech-owl,179.72
Strigiformes,Strigidae,Gymnoglaux lawrencii,Bare-legged Owl,95.2
Strigiformes,Strigidae,Megascops nudipes,Puerto Rican Screech-owl,137.34
Strigiformes,Strigidae,Otus podarginus,Palau Scops-owl,123.28
Strigiformes,Strigidae,Megascops albogularis,White-throated Screech-owl,159
Strigiformes,Strigidae,Mimizuku gurneyi,Giant Scops-owl,253
Strigiformes,Strigidae,Bubo virginianus,Great Horned Owl,1575.7
Strigiformes,Strigidae,Bubo bubo,Eurasian Eagle-owl,2668.51
Strigiformes,Strigidae,Bubo bengalensis,Rock Eagle-owl,1100
Strigiformes,Strigidae,Bubo ascalaphus,Pharaoh Eagle-owl,2100
Strigiformes,Strigidae,Bubo capensis,Cape Eagle-owl,1118.64
Strigiformes,Strigidae,Bubo africanus,Spotted Eagle-owl,685
Strigiformes,Strigidae,Bubo poensis,Fraser's Eagle-owl,654.94
Strigiformes,Strigidae,Bubo vosseleri,Usambara Eagle-owl,822.5
Strigiformes,Strigidae,Bubo nipalensis,Spot-bellied Eagle-owl,1396.42
Strigiformes,Strigidae,Bubo sumatranus,Barred Eagle-owl,1525
Strigiformes,Strigidae,Bubo shelleyi,Shelley's Eagle-owl,1257
Strigiformes,Strigidae,Bubo lacteus,Giant Eagle-owl,2114.94
Strigiformes,Strigidae,Bubo coromandus,Dusky Eagle-owl,1392.15
Strigiformes,Strigidae,Bubo leucostictus,Akun Eagle-owl,532.54
Strigiformes,Strigidae,Bubo philippensis,Philippine Eagle-owl,1392.15
Strigiformes,Strigidae,Ketupa blakistoni,Blakiston's Fish-owl,937.5
Strigiformes,Strigidae,Ketupa zeylonensis,Brown Fish-owl,1105
Strigiformes,Strigidae,Ketupa flavipes,Tawny Fish-owl,2315
Strigiformes,Strigidae,Ketupa ketupu,Buffy Fish-owl,1293
Strigiformes,Strigidae,Bubo scandiaca,Snowy Owl,2028.76
Strigiformes,Strigidae,Scotopelia peli,Pel's Fishing-owl,1942.75
Strigiformes,Strigidae,Scotopelia ussheri,Rufous Fishing-owl,787.18
Strigiformes,Strigidae,Scotopelia bouvieri,Vermiculated Fishing-owl,636.99
Strigiformes,Strigidae,Strix seloputo,Spotted Wood-owl,1011
Strigiformes,Strigidae,Strix ocellata,Mottled Wood-owl,559.09
Strigiformes,Strigidae,Strix leptogrammica,Brown Wood-owl,970
Strigiformes,Strigidae,Strix aluco,Tawny Owl,472.46
Strigiformes,Strigidae,Strix butleri,Hume's Owl,219
Strigiformes,Strigidae,Strix occidentalis,Spotted Owl,586.37
Strigiformes,Strigidae,Strix varia,Barred Owl,711.49
Strigiformes,Strigidae,Strix fulvescens,Fulvous Owl,559.09
Strigiformes,Strigidae,Strix hylophila,Rusty-barred Owl,345.38
Strigiformes,Strigidae,Strix rufipes,Rufous-legged Owl,380
Strigiformes,Strigidae,Strix uralensis,Ural Owl,780.56
Strigiformes,Strigidae,Strix davidi,Pere David's Owl,559.09
Strigiformes,Strigidae,Strix nebulosa,Great Grey Owl,1061.89
Strigiformes,Strigidae,Strix virgata,Mottled Owl,283.97
Strigiformes,Strigidae,Strix nigrolineata,Black-and-white Owl,457.89
Strigiformes,Strigidae,Strix huhula,Black-banded Owl,370
Strigiformes,Strigidae,Strix albitarsis,Rufous-banded Owl,559.09
Strigiformes,Strigidae,Strix woodfordii,African Wood-owl,350
Strigiformes,Strigidae,Jubula lettii,Maned Owl,183
Strigiformes,Strigidae,Lophostrix cristata,Crested Owl,538.66
Strigiformes,Strigidae,Pulsatrix perspicillata,Spectacled Owl,983.55
Strigiformes,Strigidae,Pulsatrix koeniswaldiana,Tawny-browed Owl,481
Strigiformes,Strigidae,Pulsatrix melanota,Band-bellied Owl,695.5
Strigiformes,Strigidae,Surnia ulula,Northern Hawk Owl,319.9
Strigiformes,Strigidae,Glaucidium passerinum,Eurasian Pygmy-owl,57.87
Strigiformes,Strigidae,Glaucidium brodiei,Collared Owlet,59.39
Strigiformes,Strigidae,Glaucidium perlatum,Pearl-spotted Owlet,79.24
Strigiformes,Strigidae,Glaucidium californicum,Northern Pygmy Owl,67.5
Strigiformes,Strigidae,Glaucidium gnoma,Northern Pygmy-owl,61.25
Strigiformes,Strigidae,Glaucidium jardinii,Andean Pygmy-owl,66.9
Strigiformes,Strigidae,Glaucidium bolivianum,Yungas Pygmy-owl,62.95
Strigiformes,Strigidae,Glaucidium palmarum,Colima Pygmy-owl,45.7
Strigiformes,Strigidae,Glaucidium sanchezi,Tamaulipas Pygmy-owl,55
Strigiformes,Strigidae,Glaucidium griseiceps,Central American Pygmy-owl,50.58
Strigiformes,Strigidae,Glaucidium parkeri,Subtropical Pygmy-owl,61.39
Strigiformes,Strigidae,Glaucidium hardyi,Amazonian Pygmy-owl,58.3
Strigiformes,Strigidae,Glaucidium minutissimum,Least Pygmy-owl,50
Strigiformes,Strigidae,Glaucidium brasilianum,Ferruginous Pygmy-owl,75.1
Strigiformes,Strigidae,Glaucidium peruanum,Peruvian Pygmy-owl,62.41
Strigiformes,Strigidae,Glaucidium nanum,Austral Pygmy-owl,73.7
Strigiformes,Strigidae,Glaucidium siju,Cuban Pygmy-owl,69.47
Strigiformes,Strigidae,Glaucidium tephronotum,Red-chested Owlet,87.39
Strigiformes,Strigidae,Glaucidium sjostedti,Sjostedt's Owlet,139
Strigiformes,Strigidae,Glaucidium cuculoides,Asian Barred Owlet,198.16
Strigiformes,Strigidae,Glaucidium castanopterum,Javan Owlet,76.02
Strigiformes,Strigidae,Glaucidium radiatum,Jungle Owlet,101
Strigiformes,Strigidae,Glaucidium castanonotum,Chestnut-backed Owlet,100
Strigiformes,Strigidae,Glaucidium capense,African Barred Owlet,122
