"","Reference","family","EnglishName","Species","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.ground","mass","Average.mass..kg.","Location","sample.size","estimated.dead","estimated.survived","survival.est","SE","X95..CI..lower.","X95..CI..upper.","sex","age","Group","Method","survival.estimate.type","death.type","notes","forage","diet","est.type","spcode","stcode","famcode"
"1","Hinnebusch et al. (2010)","falconidae","American Kestrel","Falco sparverius",60,20,20,0,0,0,0,0,0,0,50,-0.411666693984811,0.25,"Florida, USA",592,148,444,0.75,NA,NA,NA,"male","adult","",3,"apparent","indirect","",-0.0773954507093893,0.839339435688046,1,1,25,3
"2","Hinnebusch et al. (2010)","falconidae","American Kestrel","Falco sparverius",60,20,20,0,0,0,0,0,0,0,50,-0.411666693984811,0.25,"Florida, USA",2365,615,1750,0.74,NA,NA,NA,"female","adult","",3,"apparent","indirect","",-0.0773954507093893,0.839339435688046,1,1,25,3
"3","Brown et al. (2006)","falconidae","Aplomado Falcon","Falco femoralis",50,40,10,0,0,0,0,0,0,0,30,-0.385447061535453,0.33,"Texas, USA",24,2,22,0.91,NA,0.75,0.988,"","adult","wild",3,"apparent","indirect","",-0.395950639136441,0.649552493223551,1,3,8,3
"4","Brown et al. (2006)","falconidae","Aplomado Falcon ","Falco femoralis",50,40,10,0,0,0,0,0,0,0,30,-0.385447061535453,0.33,"Texas, USA",19,2,17,0.91,NA,0.75,0.988,"","adult","hacked",3,"apparent","indirect","",-0.395950639136441,0.649552493223551,1,4,8,3
"5","Buehler et al. (1991)","accipitridae","Bald Eagle ","Haliaeetus leucocephalus",0,30,20,30,0,20,0,0,0,0,30,1.57119300999787,6.3,"Maryland, USA",39,2,37,0.9145,NA,NA,NA,"","fifth year","",5,"unknown true","indirect","",-0.395950639136441,-0.299382219098921,1,5,9,1
"6","Bowman et al. (1995)","accipitridae","Bald Eagle ","Haliaeetus leucocephalus",0,30,20,30,0,20,0,0,0,0,30,1.57119300999787,6.3,"Alaska, USA",41,6,35,0.86,0.05,NA,NA,"male","sixth year and over","",5,"unknown true","indirect","",-0.395950639136441,-0.299382219098921,1,5,7,1
"7","Bowman et al. (1995)","accipitridae","Bald Eagle ","Haliaeetus leucocephalus",0,30,20,30,0,20,0,0,0,0,30,1.57119300999787,6.3,"Alaska, USA",35,4,31,0.9,0.04,NA,NA,"female","sixth year and over","",5,"unknown true","indirect","",-0.395950639136441,-0.299382219098921,1,5,7,1
"8","Bustamante (1996)","accipitridae","Bearded vulture ","Gypaetus barbatus",0,0,0,0,0,100,0,0,0,0,100,0.587956793146954,3.3,"Spain",40,2,38,0.969,NA,NA,NA,"","second year and over","wild",5,"unknown true","indirect","",0.71899252035824,-0.299382219098921,1,6,10,1
"9","Gil-Sanchez et al. (2000)","accipitridae","Bonelli's Eagle ","Aquila fasciata",0,90,10,0,0,0,0,0,0,0,70,0.325760468653377,2.5,"Granada, Spain",33,2,31,0.9633,NA,NA,NA,"","adult","",5,"unknown true","indirect","",0.241159737717662,-0.299382219098921,1,7,19,1
"10","Hernandez-Mati­as et al. (2011)","accipitridae","Bonelli's Eagle ","Aquila fasciata",0,90,10,0,0,0,0,0,0,0,70,0.325760468653377,2.5,"S. France",119,16,103,0.87,NA,NA,NA,"","third year and over","",3,"apparent","indirect","",0.241159737717662,-0.299382219098921,1,7,24,1
